tag,Temp_amb,Transparencia,Temp_agua,Oxidacion,Conductividad,pH,Sulfuros,pH_CEA,OD,Hierro,DQO,DBO,Colif_Fecales,Colif_Totales,SST,Alc_Total,Cl-Total,Conductividad,Dureza,Fl,P_Total,Nitratos,Nitritos,N_total,SDT,SS,Solidos_Totales,Sulfatos,Al,As,Ba,Cu,Mn,Pb,Na,Zn,Turbiedad,Año,Mes,Est
01-jun-16,19.5,0.1,23.56,1.18,0.772,7.36,2.29,9.12,5.94,1.093,336.07,16.35,240000,240000,90,361.62,61.34,850,166.58,0.74,1.57,0.1,0.022,10.13,636,0.1,726,17.32,2.5432,0.0026,0.0176,0.05,0.072,0.0025,104.4,0.061,130,16,6,1
02-jun-16,20,0.1,24.35,4.1,0.742,7.33,1.76,9.11,2.55,0.05,311.15,17.07,46000,0.201,65,375.75,65.53,907,163.19,0.8,1.51,0.1,0.022,10.78,636,0.1,701,11.33,120,0.286,0.0026,0.0005,0.274,0.1,0.0025,111.1,120,16,6,2
03-jun-16,19,0.12,24.09,2.2,0.789,7.39,1.34,9.1,3.33,0.05,314.92,17.1,230,430,60,383.62,66.19,930,170.92,0.66,1.47,0.1,0.022,9.95,632,0.1,692,11.36,0.0572,0.0025,0.019,0.05,0.05,0.0025,113.4,0.026,100,16,6,3
04-jun-16,18.5,0.1,23.74,1.25,0.776,7.38,1.55,9.14,2.04,0.069,305.07,16.44,430,430,84,382.61,66.23,885,171.76,0.48,1.46,0.1,0.022,9.53,602,0.1,686,1.29,0.01,0.0025,0.0167,0.05,0.05,0.0025,133.8,0.036,100,16,6,4
05-jun-16,19,0.1,23.87,1.91,0.787,7.36,1.26,9.14,2.27,0.412,294.64,17.04,43000,43000,62,383.84,64.07,922,164.19,0.94,1.42,0.1,0.022,9.71,657,0.1,719,11.64,0.638,0.0025,0.0197,0.05,0.05,0.0025,110.1,0.325,922,16,6,5
01-jul-16,26,0.1,25.35,3.97,0.763,7.69,2.54,8.91,2.13,0.272,109.1,28.98,110000,110000,72,370.81,62.47,860,162.42,0.58,1.55,0.1,0.022,10.07,573,0.1,645,6.65,2.54,0.0025,0.005,0.05,0.12,0.0025,102.1,0.02,75,16,7,1
02-jul-16,22,0.15,25.83,0.62,0.761,7.62,1.82,9.26,7.22,0.082,156.55,17.1,430,4600,66,371.79,64.71,895,174.8,0.69,1.46,0.1,0.022,0.9,622,0.1,688,5.14,1.82,0.0025,0.005,0.05,0.051,0.0025,105.3,0.046,100,16,7,2
03-jul-16,24,0.1,25.76,4.53,0.759,7.65,0.37,9.3,9.2,0.078,167.76,16.24,930,930,62,362.17,64.38,893,161.05,0.77,1.43,0.1,0.022,9.41,620,0.1,682,5.06,0.37,0.0025,0.005,0.05,0.05,0.0025,110.8,0.193,110,16,7,3
04-jul-16,26,0.1,24.82,4.17,0.76,7.69,0.97,9.24,7.55,0.068,156.55,17.88,430,430,65,366.88,63.5,844,173.42,0.74,1.43,0.1,0.022,9.89,630,0.1,695,5.13,0.97,0.0025,0.005,0.05,0.057,0.0025,110.1,0.02,110,16,7,4
05-jul-16,25,0.1,25.25,5.53,0.76,7.72,0.31,9.29,8.79,0.078,158.62,16.02,15000,15000,68,367.67,65.46,893,159.48,0.52,1.47,0.1,0.022,8.63,598,0.1,666,5.03,0.31,0.0025,0.005,0.05,0.05,0.0025,111.6,0.046,110,16,7,5
01-ago-16,25,0.25,25.33,6.14,0.758,2.27,1.01,8.59,5.55,0.199,94.94,9.97,460000,460000,28,336.63,54.1,792,153.4,0.49,1.45,0.1,0.022,8.45,542,0.1,570,10,0.1628,0.0025,0.0183,0.05,0.117,0.0025,95.2,0.02,22,16,8,1
02-ago-16,22,0.3,24.48,4.15,0.7,7.43,7.52,8.95,10.2,0.05,97.52,23.28,230,1500,30,363.44,62.18,851,165,0.68,1.24,0.1,0.022,8.57,596,0.1,626,10,0.01,0.0025,0.0198,0.05,0.089,0.0025,108.6,0.02,40,16,8,2
