"idPuntoMuestreo","idParametro","unidad","valor","fecha","est_fijas"
"LC-03","Nitrógeno total Kjeldahl","mg/l",7.72,2009-09-02,TRUE
"LC-03","Sulfatos","mg/l",9.89,2009-09-02,TRUE
"LC-03","SAAM","mg/l",0.146,2009-09-02,TRUE
"LC-03","DBO Turbiedad","mg/l",15.87,2009-09-02,TRUE
"LC-03","DQO","mg/l",117.59,2009-09-02,TRUE
"LC-03","Grasas y aceites","mg/l",5.11,2009-09-02,TRUE
"LC-03","Fósforo total","mg/l",0.49,2009-09-02,TRUE
"LC-03","SST","mg/l",17,2009-09-02,TRUE
"LC-03","Sólidos disueltos tot.","mg/l",481,2009-09-02,TRUE
"LC-03","Sólidos sedimentables","ml/l",0.1,2009-09-02,TRUE
"LC-03","Sulfuros","mg/l",0.198,2009-09-02,TRUE
"LC-03","Aluminio","mg/l",0.01,2009-09-02,TRUE
"LC-03","Arsénico","mg/l",0.0025,2009-09-02,TRUE
"LC-03","Bario","mg/l",0.005,2009-09-02,TRUE
"LC-03","Cadmio","mg/l",5e-04,2009-09-02,TRUE
"LC-03","Cobre","mg/l",0.05,2009-09-02,TRUE
"LC-03","Cromo","mg/l",0.05,2009-09-02,TRUE
"LC-03","Fierro","mg/l",680,2009-09-02,TRUE
"LC-03","Manganeso","mg/l",,2009-09-02,TRUE
"LC-03","Mercurio","mg/l",50000,2009-09-02,TRUE
"LC-03","Níquel","mg/l",0.1,2009-09-02,TRUE
"LC-03","Plomo","mg/l",0.0025,2009-09-02,TRUE
"LC-03","Sodio","mg/l",,2009-09-02,TRUE
"LC-03","Zinc","mg/l",0.02,2009-09-02,TRUE
"LC-03","Coliformes totales","NMP/mg/l0ml",3,2009-09-02,TRUE
"LC-03","Coliformes fecales","NMP/mg/l0ml",3,2009-09-02,TRUE
"LC-03","Profundidad","m",4.18,2009-09-02,TRUE
"LC-03","Temp. ambiente","°C",,2009-09-02,TRUE
"LC-03","Transparencia Secchi","m",,2009-09-02,TRUE
"LC-03","Sólidos totales",,498,2009-09-02,TRUE
"LC-03","Nitrógeno total",,7.72,2009-09-02,TRUE
"LC-03","Clorofilas","mg/l",,2009-09-02,TRUE
"21","Temperatura","°C",25,2009-09-02,FALSE
"21","pH",,8.63,2009-09-02,FALSE
"21","Oxígeno disuelto","mg/l",10.26,2009-09-02,FALSE
"21","Conductividad","µS/cm",624,2009-09-02,FALSE
"21","Turbiedad","UNT",24.7,2009-09-02,FALSE
"21","Alcalinidad total","mg CaCOmg/l/l",343.7,2009-09-02,FALSE
"21","Cloruros totales","mg/l",55.83,2009-09-02,FALSE
"21","Dureza total","mg CaCOmg/l/l",119.8,2009-09-02,FALSE
"21","Fluoruros","mg/l",0.78,2009-09-02,FALSE
"21","Nitrógeno de nitratos","mg/l",0.1,2009-09-02,FALSE
"21","Nitrógeno de nitritos","mg/l",0.022,2009-09-02,FALSE
"21","Nitrógeno amoniacal","mg/l",1.19,2009-09-02,FALSE
"21","Nitrógeno total Kjeldahl","mg/l",1.78,2009-09-02,FALSE
"21","Sulfatos","mg/l",9.08,2009-09-02,FALSE
"21","SAAM","mg/l",0.108,2009-09-02,FALSE
"21","DBO Turbiedad","mg/l",10.56,2009-09-02,FALSE
"21","DQO","mg/l",111.98,2009-09-02,FALSE
"21","Grasas y aceites","mg/l",3.02,2009-09-02,FALSE
"21","Fósforo total","mg/l",0.47,2009-09-02,FALSE
"21","SST","mg/l",12,2009-09-02,FALSE
"21","Sólidos disueltos tot.","mg/l",508,2009-09-02,FALSE
"21","Sólidos sedimentables","ml/l",0.1,2009-09-02,FALSE
"21","Sulfuros","mg/l",0.1,2009-09-02,FALSE
"21","Aluminio","mg/l",0.01,2009-09-02,FALSE
"21","Arsénico","mg/l",0.0025,2009-09-02,FALSE
"21","Bario","mg/l",0.005,2009-09-02,FALSE
"21","Cadmio","mg/l",5e-04,2009-09-02,FALSE
"21","Cobre","mg/l",0.05,2009-09-02,FALSE
"21","Cromo","mg/l",0.05,2009-09-02,FALSE
"21","Fierro","mg/l",720,2009-09-02,FALSE
"21","Manganeso","mg/l",,2009-09-02,FALSE
"21","Mercurio","mg/l",50000,2009-09-02,FALSE
"21","Níquel","mg/l",0.1,2009-09-02,FALSE
"21","Plomo","mg/l",0.0025,2009-09-02,FALSE
"21","Sodio","mg/l",,2009-09-02,FALSE
"21","Zinc","mg/l",540,2009-09-02,FALSE
"21","Coliformes totales","NMP/mg/l0ml",3,2009-09-02,FALSE
"21","Coliformes fecales","NMP/mg/l0ml",3,2009-09-02,FALSE
"21","Profundidad","m",3,2009-09-02,FALSE
"21","Temp. ambiente","°C",,2009-09-02,FALSE
"21","Transparencia Secchi","m",,2009-09-02,FALSE
"21","Sólidos totales",,520,2009-09-02,FALSE
"21","Nitrógeno total",,1.78,2009-09-02,FALSE
"21","Clorofilas","mg/l",,2009-09-02,FALSE
"LC-05","Temperatura","°C",24.2,2009-09-02,TRUE
"LC-05","pH",,8.64,2009-09-02,TRUE
"LC-05","Oxígeno disuelto","mg/l",10.06,2009-09-02,TRUE
"LC-05","Conductividad","µS/cm",626,2009-09-02,TRUE
"LC-05","Turbiedad","UNT",24.3,2009-09-02,TRUE
