"Temperatura","pH","Oxígeno disuelto","Nitrógeno de nitratos","Nitrógeno de nitritos","Nitrógeno total Kjeldahl","DBO","DQO","Grasas y aceites","Fósforo total","SST","Sólidos disueltos tot.","Sólidos sedimentables","Aluminio","Arsénico","Bario","Cadmio","Cobre","Cromo","Fierro","Manganeso","Mercurio","Níquel","Plomo","Sodio","Zinc","Coliformes totales","Coliformes fecales","Sólidos totales","Nitrógeno total","Conductividad","Turbiedad","Alcalinidad total","Cloruros totales","Dureza total","Fluoruros","Nitrógeno amoniacal","Sulfatos","SAAM","Sulfuros","Temp. ambiente","Acidez total","Dureza de calcio","fecha","año","mes","est"
24,6.9,,0.1,0.042,10.87,55.8,132.7,13.8,1.83,109,350,0.1,1.916,0.0025,0.005,0.0005,0.05,0.05,1.854,0.286,0.0007,0.1,0.0025,42.5,0.094,230000,230000,459,10.912,591,57.8,229.1,53.04,84.1,0.45,7.06,55.94,0.6,0.12,25,,,2009-06-30,"2009","6","RS-01"
22,7.3,,0.1,0.01,4.34,5.07,58.8,9.68,2.08,5,475,0.2,0.01,0.0081,0.005,0.0005,0.05,0.05,0.144,0.186,0.0008,0.1,0.0025,54.5,0.053,9300,9300,480,4.35,798,3.2,297.8,51.21,114.7,0.79,1.08,112.78,0.42,0.41,26,,,2009-06-30,"2009","6","RS-02"
24,7.8,,0.1,0.022,3.8,5.17,94.6,9.89,0.19,15,855,0.1,0.594,0.0078,0.005,0.0005,0.05,0.05,0.437,0.167,0.0006,0.1,0.0025,129.2,0.075,2300,2300,870,3.8,1367,6.2,458.2,111.58,183.6,0.89,0.54,200.66,0.41,0.27,28,,,2009-06-30,"2009","6","RS-03"
23,7.66,2.16,0.1,0.022,15.21,18.95,98.15,11.12,0.53,33,682,0.1,0.656,0.0061,0.005,0.0005,0.05,0.05,0.447,0.298,0.0007,0.1,0.0025,86.1,0.02,110000,110000,715,15.21,1086,24.4,458.2,64.02,145.3,0.95,8.69,112.63,3.3,0.13,29,,,2009-06-30,"2009","6","RS-04"
26,7.84,0.59,0.1,0.038,13.04,12.42,79.3,7.5,0.22,23,653,0.1,0.279,0.0057,0.005,0.0005,0.05,0.05,0.245,0.306,0.0006,0.1,0.0025,84.8,0.02,240000,240000,676,13.078,1077,7.3,504,68.06,141.5,1.08,7.6,103.48,1.21,0.11,26,,,2009-06-30,"2009","6","RS-05"
24,7.96,5.89,1.83,1.81,3.26,14.58,100.5,8.96,12.58,21,665,0.1,0.383,0.0054,0.005,0.0005,0.05,0.05,0.289,0.138,0.0007,0.1,0.0025,90.6,0.02,110000,110000,686,6.9,1066,8.7,366.5,67.66,141.5,1.05,0.54,111.08,0.46,0.1,28,,,2009-06-30,"2009","6","RS-06"
26.5,7.47,3.54,0.1,0.199,11.4,42.72,134.66,20.52,1.69,113,507,0.8,4.445,0.0137,0.005,0.0195,0.05,0.05,2.135,0.131,0.0006,0.1,0.0025,76.5,0.062,240000,240000,620,11.599,799,63.7,297.8,51.21,76.5,2.14,3.26,109.76,6.35,0.12,32,,,2009-06-30,"2009","6","RS-07"
26,7.65,6.09,0.84,0.553,8.69,11.61,65.96,8.52,1.68,108,439,0.9,2.929,0.0119,0.005,0.0125,0.05,0.05,1.919,0.103,0.0006,0.1,0.0025,61.5,0.02,240000,240000,547,10.083,684,34.3,274.9,42.07,59.3,1.89,4.89,91.07,0.19,0.1,26,,,2009-06-30,"2009","6","RS-08"
27,7.52,2.36,0.1,0.014,13.58,9.93,53,3.19,0.12,51,547,0.2,2.559,0.0092,0.005,0.0038,0.05,0.05,2.165,0.7,0.0005,0.1,0.0025,74.3,0.02,23000,23000,598,13.594,908,49.7,366.6,58.53,110.9,1.26,8.15,94.33,1.08,1.11,27,,,2009-06-30,"2009","6","RS-09"
27.5,7.56,4.91,1.83,0.919,9.23,7.03,48.68,,0.23,152,548,0.3,5.35,0.0149,0.005,0.0016,0.05,0.05,3.605,0.408,0.0007,0.1,0.0025,71.2,0.02,9000,9000,700,11.979,828,89.3,320.7,58.53,99.4,1.2,3.8,90.45,0.22,0.1,21,,,2009-06-30,"2009","6","RS-10"
22,7.6,,0.1,0.01,36.94,192,316.82,29.69,7.8,81,900,0.1,0.896,0.0058,0.005,0.0005,0.05,0.05,0.458,0.26,0.0008,0.1,0.0025,128.4,0.058,24000000,24000000,981,36.95,1531,53.1,595.6,74.99,183.6,1.22,16.29,162.42,24.63,1.06,25,,,2009-06-30,"2009","6","AA-01"
26,7.78,,0.1,0.022,23.29,43.32,146.44,15.51,1.06,53,695,0.1,0.298,0.0025,0.005,0.0005,0.05,0.05,0.26,0.297,0.0008,0.1,0.0025,87.8,0.067,24000000,24000000,748,23.29,1123,33.7,504,60.36,149.1,1.19,9.77,100.76,5.47,0.14,28,,,2009-06-30,"2009","6","AA-02"
